Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Johnathan Motley,PF,24,LAC,13,0,3.2,0.8,1.2,.733,0.1,0.1,1.000,0.8,1.1,.714,.767,0.4,0.5,.714,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2
Emmanuel Mudiay,PG,23,UTA,46,1,16.1,2.9,6.2,.472,0.6,1.6,.360,2.3,4.5,.512,.519,1.1,1.5,.746,0.4,2.1,2.5,2.3,0.4,0.2,1.4,1.3,7.5
Dejounte Murray,PG,23,SAS,52,44,24.7,4.3,8.8,.483,0.6,1.4,.387,3.7,7.4,.501,.514,1.3,1.7,.795,1.2,4.6,5.8,4.0,1.7,0.3,1.9,2.2,10.4
Jamal Murray,PG,22,DEN,47,47,32.5,7.1,15.4,.457,1.8,5.3,.339,5.3,10.1,.520,.516,3.0,3.3,.892,0.7,3.2,3.9,4.8,1.2,0.3,2.3,1.7,18.9
Džanan Musa,SF,20,BRK,35,0,11.5,1.4,4.0,.360,0.4,1.9,.231,1.0,2.1,.473,.414,0.9,1.3,.750,0.5,1.5,2.0,0.9,0.4,0.0,0.8,0.7,4.2
Mike Muscala,C,28,OKC,38,0,12.3,1.6,3.9,.413,1.1,3.0,.363,0.6,1.0,.568,.550,0.5,0.6,.818,0.3,2.0,2.4,0.8,0.2,0.3,0.3,1.2,4.8
Sviatoslav Mykhailiuk,SF,22,DET,49,20,22.1,2.9,6.8,.428,2.0,4.8,.415,0.9,2.0,.459,.574,1.0,1.2,.860,0.3,1.4,1.7,1.6,0.6,0.1,1.0,1.5,8.8
Abdel Nader,SF,26,OKC,41,5,15.3,2.1,4.4,.470,0.8,2.2,.360,1.3,2.2,.576,.558,0.9,1.2,.792,0.3,1.3,1.6,0.6,0.4,0.3,0.8,1.3,5.9
Larry Nance,C,27,CLE,47,8,25.1,3.9,7.4,.524,1.0,2.9,.338,2.9,4.5,.645,.591,0.9,1.3,.678,1.8,5.4,7.3,1.9,0.9,0.4,1.1,1.6,9.6
Shabazz Napier,PG,28,TOT,42,22,23.1,3.1,7.6,.408,1.3,4.3,.309,1.8,3.3,.536,.495,1.9,2.3,.827,0.5,2.4,2.9,5.0,1.2,0.2,2.1,1.7,9.5
